Winery,Year,Wine ID,Wine,Rating,num_review,Country,Region,Price
Welsh Brothers,N.V.,1378007,Medium Dry Madeira N.V.,3.3,43,portugal,,9.5
Nittnaus,2021,1149096,Grüner Veltliner Selection 2021,4.0,75,austria,burgenland,9.5
Bacca Nera,2020,1206690,Negroamaro - Primitivo Salento 2020,3.8,335,italy,lecce,9.5
Le Secret des Capitelles,2016,1172634,Saint-Chinian 2016,3.6,83,france,saint-chinian,9.5
Rickety Bridge,2016,1123176,The Foundation Stone Red Blend 2016,3.4,49,south-africa,franschhoek,9.5
Celler del Roure,2021,1604486,Cullerot 2021,3.9,108,spain,comunitat-valenciana,9.5
Amalaya,2021,1177446,Blanco (Torrontés - Riesling) 2021,4.0,287,argentina,salta,9.5
Calalenta,2021,6980867,Rosato 2021,4.1,154,italy,sicily,9.5
Santa Rita,2017,3351991,Medalla Real Gold Medal (Limited Edition) Cabernet Sauvignon 2017,3.9,2042,chile,maipo-valley,9.5
Corette,2020,2137499,Syrah 2020,3.6,31,france,vin-de-pays-doc,9.5
Piteira,2019,6817275,José Piteira Tinto 2019,3.9,91,portugal,alentejo,9.5
Douloufakis,2019,1253595,Enotria Red 2019,3.5,152,greece,crete,9.5
Ca’ del Baio,2021,99741,101 Moscato d'Asti 2021,4.2,30,italy,moscato-dasti,9.5
Poncho Criollo,2019,1782693,Malbec 2019,3.7,312,argentina,mendoza,9.5
Château Mayne Guyon,2018,1201035,Blaye - Côtes de Bordeaux 2018,3.8,373,france,blaye-cotes-de-bordeaux,9.5
Jordan Wines,2019,2045806,Chameleon Sauvignon Blanc - Chardonnay 2019,3.5,80,south-africa,stellenbosch,9.5
Vinos Sanz,2021,1156211,Montesol Rueda 2021,3.9,30,spain,rueda,9.5
Banfi,2019,22913,Col di Sasso (Cabernet Sauvignon - Sangiovese) 2019,3.6,1371,italy,tuscany,9.5
Domaine Pré Baron,2021,1186183,Sauvignon Touraine 2021,4.0,30,france,touraine,9.5
Château les Pins,2018,5876910,Les Petits Pins Côtes du Roussillon Villages 2018,3.7,79,france,cotes-du-roussillon-villages,9.5
Château de la Vieille Tour,2017,1224888,Bordeaux Supérieur 2017,3.6,67,france,bordeaux-superieur,9.5
Domaine Girard,2019,1257241,Malepère 2019,3.9,38,france,cotes-de-malepere,9.5
La Bollina,2018,7030657,Papios Rosso 2018,4.0,310,italy,sicily,9.5
Stonedance,2017,4545497,Shiraz 2017,3.3,47,south-africa,swartland,9.5
Querientes,2016,4058324,Roble 2016,3.7,52,spain,,9.5
PavoNero,2021,9240568,Primitivo di Manduria 2021,3.9,89,italy,primitivo-di-manduria,9.5
Casa Silva,2021,18298,Colección Chardonnay 2021,3.8,84,chile,colchagua-valley,9.5
Gere,2020,1210034,Portugieser 2020,3.5,120,hungary,villany,9.5
Domaine Claire Clavel,2019,1565463,Régulus Côtes-du-Rhône Rouge 2019,3.8,137,france,cotes-du-rhone,9.5
Pago de Cirsus,2020,2406559,Chardonnay 2020,3.8,188,spain,comunidad-foral-de-navarra,9.5
Ca’ del Baio,2020,99726,Lodoli Dolcetto d'Alba 2020,3.7,49,italy,dolcetto-dalba,9.5
Domaine de la Baume,2020,1163295,Viognier Elisabeth 2020,4.0,1021,france,languedoc-roussillon,9.5
Astoria,N.V.,5692680,Extra Dry Rosé N.V.,3.4,65,italy,prosecco,9.5
Freixa Rigau,N.V.,1154691,Familia Oliveda Cava Brut Rosado N.V.,3.8,216,spain,cava,9.5
Clemens Busch,2019,1555674,Riesling Trocken 2019,3.8,355,germany,mosel-saar-ruwer,9.5
Celler Credo,2020,8399763,And The Winner Is... 2020,3.6,148,spain,comunidad-autnoma-de-catalua,9.5
Vinovalie,2019,5676307,Sang Mêlé 2019,4.0,565,france,southwest,9.5
Quinta Dona Mafalda,2019,6353184,Little Mafalda 2019,4.0,116,portugal,douro,9.5
Notte Rossa,2019,4672921,Negroamaro di  Terra d'Otranto 2019,3.8,261,italy,puglia,9.5
Santadi,2020,17963,Villa Solais Vermentino di Sardegna 2020,3.7,325,italy,vermentino-di-sardegna,9.5
Lenotti,2021,1126806,Colle dei Tigli Bianco del Veneto 2021,3.9,65,italy,veneto,9.5
Tenuta Castiglioni,2020,21002,Chianti 2020,3.7,1582,italy,chianti,9.52
Cusumano,2021,71214,Insolia 2021,3.5,34,italy,sicily,9.54
Cusumano,2021,7415733,Lucido 2021,3.6,73,italy,sicilia,9.54
